id,rooms,sqft_house,sqft_lot,sqft_basement,floors,condition,yr_built,renovated,price,,,
1,3,1180,5650,0,1,3,1955,0,221900,,,
2,3,2570,7242,400,2,3,1951,1,538000,,id,
3,2,770,10000,0,1,3,1933,0,180000,,rooms,מספר חדרים
4,4,1960,5000,910,1,5,1965,0,604000,,sqft_house,גודל הבית בSquare Feet
5,3,1680,8080,0,1,3,1987,0,510000,,sqft_lot,גודל המגרש בSquare Feet
6,4,5420,101930,1530,1,3,2001,0,1.23E+06,,sqft_basement,גודל המרתף בSquare Feet
7,3,1715,6819,0,2,3,1995,0,257500,,floors,מספר הקומות בנכס
8,3,1060,9711,0,1,3,1963,0,291850,,condition,"מצב הנכס (1-לא טוב, 5- טוב מאוד)"
9,3,1780,7470,730,1,3,1960,0,229500,,yr_built,השנה בה הנכס נבנה
10,3,1890,6560,0,2,3,2003,0,323000,,renovated,"האם הנכס שופץ (1-כן, 0-לא)"
11,3,3560,9796,1700,1,3,1965,0,662500,,price,מחיר מכירה של הנכס בדולר (משתנה מוסבר)
12,2,1160,6000,300,1,4,1942,0,468000,,,
13,3,1430,19901,0,3,4,1927,0,310000,,,
14,3,1370,9680,0,1,4,1977,0,400000,,,
15,5,1810,4850,0,2,3,1900,0,530000,,,
16,4,2950,5000,970,2,3,1979,0,650000,,,
17,3,1890,14040,0,2,3,1994,0,395000,,,
18,4,1600,4300,0,1,4,1916,0,485000,,,
19,2,1200,9850,0,1,4,1921,0,189000,,,
20,3,1250,9774,0,1,4,1969,0,230000,,,
21,4,1620,4980,760,1,4,1947,0,385000,,,
22,3,3050,44867,720,1,3,1968,0,2.00E+06,,,
23,5,2270,6300,0,2,3,1995,0,285000,,,
24,2,1070,9643,0,1,3,1985,0,252700,,,
25,3,2450,6500,0,2,4,1985,0,329000,,,
26,3,1710,4697,0,1,5,1941,0,233000,,,
27,3,2450,2691,700,2,3,1915,0,937000,,,
28,3,1400,1581,0,1,5,1909,0,667000,,,
29,3,1520,6380,730,1,3,1948,0,438000,,,
30,4,2570,7173,0,2,3,2005,0,719000,,,
31,3,2320,3980,0,2,3,2003,0,580500,,,
32,2,1190,1265,0,3,3,2005,0,280000,,,
33,4,2330,5000,820,2,4,1929,0,687500,,,
34,3,1090,3000,0,3,4,1929,0,535000,,,
35,4,2060,6659,780,1,3,1981,0,322500,,,
36,3,2300,3060,790,2,3,1930,1,696000,,,
37,4,1660,34848,730,1,1,1933,0,550000,,,
38,4,2360,6000,0,2,4,1904,0,640000,,,
39,4,1220,8075,330,1,2,1969,0,240000,,,
40,4,2620,7553,0,2,3,1996,0,605000,,,
41,4,2570,5520,0,2,3,2000,0,625000,,,
42,4,4220,24186,1620,1,3,1984,0,775000,,,
43,5,3595,5639,0,2,3,2014,0,861990,,,
44,3,1570,2280,0,2,3,1922,0,685000,,,
45,3,1280,9656,360,1,4,1959,0,309000,,,
46,3,3160,13603,0,2,3,2003,0,488000,,,
47,3,990,8528,0,1,3,1966,0,210490,,,
48,4,2290,13416,0,2,4,1981,0,785000,,,
49,3,1250,5963,0,1,4,1953,0,450000,,,
50,3,2753,65005,588,1,5,1953,0,1.35E+06,,,
