Company,Valuation ($B),Country,Industry,Founded Year,Financial Stage,Investors Count,Number workers,Total Raised ($M),,,
Axelar,1,Canada,Internet software & services,2020,IPO,26,380,63.75,,,
PointClickCare,4,Canada,Internet software & services,2000,IPO,3,325,86.88,,Company,שם החברה
JOLLY Information Technology,1.5,China,E-commerce & direct-to-consumer,2008,None,10,255,100.12,,Total Raised ($M),מימון שגויס
Black Sesame Technologies,2,China,Artificial intelligence,2016,None,18,385,115,,Country,מדינה
Lamabang,1,China,E-commerce & direct-to-consumer,2011,None,6,199,120,,Industry,תעשייה
Hive Box,1.4,China,"Supply chain, logistics, & delivery",2015,Acquired,16,407,124,,Founded Year,שנת הקמה
Star Charge,2.41,China,Auto & transportation,2014,None,9,400,125.58,,Financial Stage,
UISEE Technology,1.08,China,"Supply chain, logistics, & delivery",2016,Acquired,15,149,154.3,,Investors Count,מספר המשקיעים
Figment,1.4,Canada,Internet software & services,2018,IPO,24,316,163.84,,Number workers,מספר העובדים
TUNGEE,1.3,China,Artificial Intelligence,2016,None,9,631,171.05,,Valuation ($B),שווי מוערך (משתנה מוסבר)
Aibee,1.2,China,Artificial intelligence,2017,None,22,403,175.31,,,
YH Global,1,China,"Supply chain, logistics, & delivery",1997,Acquired,8,415,182.05,,,
Iluvatar CoreX,1.55,China,Hardware,2015,None,8,350,185.52,,,
Ada Support,1.2,Canada,Artificial intelligence,2016,None,11,497,190.73,,,
TELD,1.12,China,Fintech,2014,None,9,983,193.24,,,
iCarbonX,1,China,Artificial intelligence,2015,Acquired,3,554,199,,,
Orbbec Technology,1,China,Hardware,2013,None,8,742,200,,,
Betterfly,1,Chile,Artificial intelligence,2018,None,13,771,202.5,,,
Freshbooks,1,Canada,Fintech,2004,IPO,9,743,203.75,,,
Visier,1,Canada,Internet software & services,2010,IPO,5,195,216.5,,,
TensTorrent,1,Canada,Artificial intelligence,2016,None,4,825,221.03,,,
Baiwang,1.55,China,Fintech,2015,None,8,174,224.35,,,
