product_name,manufacturer,number_available_in_stock,number_of_reviews,number_of_answered_questions,ebay_category,average_review_rating (out of 5 stars),main sale country,price (ï¿,,,
Cribbage board and two packs playing cards 00185,A Kent & Cleal game,0,5,2,Toy,4.2,NY,3.99,,,
"Roulette & Blackjack set - 40cm. wheel, 00612",A Kent & Cleal game,2,53,7,Toy,4.5,Italy,24.99,,product_name,ýý ýýýýý
Blackjack set-00830,A Kent & Cleal game,0,4,1,Toy,4.5,Japan,19.99,,manufacturer,ýý ýýýýý
"Chess men, wood Staunton pattern, 75mm. King - 00201",A Kent & Cleal game,0,22,1,Toy,4,Italy,5.49,,number_available_in_stock,ýýýý ýýýýýý ýýýýý
Mah jong set in walnut presentation case - 00696,A Kent & Cleal game,0,5,5,Toy,4.6,Japan,89.99,,number_of_reviews,ýýýý ýýýýýýý ýý ýýýýý
Mah jong set with Oriental characters-00691,A Kent & Cleal game,2,2,1,Toy,4.5,Japan,44.99,,number_of_answered_questions,ýýýý ýýýýýý ýýýýý ýý ýýýýý
Mah jong set with bone and bamboo tiles - 00695,A Kent & Cleal game,0,3,2,Toy,4.3,Italy,79.99,,ebay_category_and_sub_category,ýýýýýýýý ýýýýý ýýýýýý
Rummy set-00900,A Kent & Cleal game,0,5,1,Toy,5,Italy,8.99,,average_review_rating (out of 5 stars),ýýýýý ýýýýý
"Dominoes- double six, wood,black spots, giant size-00130",A Kent & Cleal game,0,9,1,Toy,4,Italy,12.99,,main sale country,ýýýýýý ýýýýýýý ýý ýýýýý ýýýý
"Dominoes double nine, plastic, black spots, spinners - 00122",A Kent & Cleal game,0,57,1,Toy,4.9,Italy,5.99,,price (ï¿,ýýýý ýýýýý (ýýýýý ýýýýý)
"Dominoes- double six, plastic,black spots,spinners-00121",A Kent & Cleal game,2,123,1,Toy,4.7,Italy,6.57,,,
"Puppet girl Katie 15""/38cm ventriloquist, play, tell stories, educational. moving mouth and hands. Free UK delivery",A.S.PUPPETS,0,2,1,Hand Puppets,4.5,Italy,15,,,
"Puppet Pig Percy 15""/38cm ventriloquist, play, tell stories, educational. moving mouth and hands. Free UK delivery",A.S.PUPPETS,0,1,1,Hand Puppets,5,NY,15,,,
"Puppet boy Norton 15""/38cm ventriloquist, play, tell stories, educational. moving mouth and hands. Free UK delivery",A.S.PUPPETS,0,1,1,Hand Puppets,5,Japan,15,,,
"Puppet man Ernest 15""/38cm ventriloquist, play, tell stories, educational. moving mouth and hands. Free UK delivery",A.S.PUPPETS,0,4,1,Hand Puppets,4.5,China,15,,,
